Datetime,load,pv,price
2016-03-04 00:00:00,0.143,0.0,0.02215
2016-03-04 00:15:00,0.146,0.0,0.02162
2016-03-04 00:30:00,0.141,0.0,0.02109
2016-03-04 00:45:00,0.15,0.0,0.02056
2016-03-04 01:00:00,0.168,0.0,0.02003
2016-03-04 01:15:00,0.152,0.0,0.01996
2016-03-04 01:30:00,0.122,0.0,0.01989
2016-03-04 01:45:00,0.121,0.0,0.01982
2016-03-04 02:00:00,0.083,0.0,0.01975
2016-03-04 02:15:00,0.058,0.0,0.01961
2016-03-04 02:30:00,0.061,0.0,0.01947
2016-03-04 02:45:00,0.078,0.0,0.01933
2016-03-04 03:00:00,0.089,0.0,0.01919
2016-03-04 03:15:00,0.063,0.0,0.01914
2016-03-04 03:30:00,0.049,0.0,0.01909
2016-03-04 03:45:00,0.051,0.0,0.01904
2016-03-04 04:00:00,0.051,0.0,0.01899
2016-03-04 04:15:00,0.049,0.0,0.01929
2016-03-04 04:30:00,0.067,0.0,0.01959
2016-03-04 04:45:00,0.09,0.0,0.01988
2016-03-04 05:00:00,0.073,0.0,0.02018
2016-03-04 05:15:00,0.061,0.0,0.02187
2016-03-04 05:30:00,0.126,0.0,0.02355
2016-03-04 05:45:00,0.158,0.01,0.02524
2016-03-04 06:00:00,0.187,0.007,0.02692
2016-03-04 06:15:00,0.086,0.031,0.02812
2016-03-04 06:30:00,0.294,0.049,0.02933
2016-03-04 06:45:00,0.451,0.099,0.03053
2016-03-04 07:00:00,0.363,0.154,0.03173
2016-03-04 07:15:00,0.082,0.171,0.03229
2016-03-04 07:30:00,0.15,0.217,0.03285
2016-03-04 07:45:00,0.139,0.257,0.03341
2016-03-04 08:00:00,0.569,0.366,0.03397
2016-03-04 08:15:00,0.371,0.277,0.03299
2016-03-04 08:30:00,0.157,0.279,0.032
2016-03-04 08:45:00,0.18,0.269,0.03102
2016-03-04 09:00:00,0.207,0.306,0.03004
2016-03-04 09:15:00,0.193,0.374,0.0292
2016-03-04 09:30:00,0.171,0.279,0.02836
2016-03-04 09:45:00,0.152,0.31,0.02753
2016-03-04 10:00:00,0.155,0.302,0.02669
2016-03-04 10:15:00,0.185,0.269,0.02596
2016-03-04 10:30:00,0.213,0.272,0.02524
2016-03-04 10:45:00,0.465,0.277,0.02451
2016-03-04 11:00:00,0.128,0.317,0.02378
2016-03-04 11:15:00,0.114,0.333,0.02346
2016-03-04 11:30:00,0.107,0.308,0.02313
